대분류,중분류_1,중분류_2,소분류_1,소분류_2,대표질문,유사표현,답변,답변 출처 (URL),
분야별 정보,복지/보건,복지정보,사회복지,국민기초생활보장사업_일반,국민기초생활보장사업이 뭐에요?,"국민기초생활보장사업 지원대상이 알고싶어요
","[사업안내]
’15.7.1 맞춤형 기초생활보장제도 시행으로 수요자 중심의 맞춤형 복지, 일하는 복지, 효율적인 복지로 급여 항목별 체계적인 지원을 통해 더! 많은 분들에게 꼭 ! 필요한 도움을 드립니다.

[지원대상]
소득인정액 기준과 부양의무자 기준 동시 충족자 (소득인정액 = 소득과 재산을 소득으로 평가‧환산한 금액)",https://www.brcn.go.kr/welfare/sub01_01.do,
,,,,국민기초생활보장사업_급여별 선정기준,국민 기초 생활보장사업 급여별 선정기준을 알려주세요,"국민 기초 생활보장사업 급여별 선정기준이 뭐야?
부양의무자 기준은 뭐에요?
부양의무자의 범위를 알려주세요","[급여별 선정기준(단위:원/월)]
**표**
구분 1인가구 2인가구 3인가구 4인가구 5인가구
기준중위소득 1,672,105 2,847,097 3,683,150 4,519,202 5,355,254
생계(중위소득 30%) 501,632 854,129 1,104,945 1,355,761 1,606,576
의료(중위소득 40%) 668,842 1,138,839 1,473,260 1,807,681 2,142,102
주거(중위소득 43%) 719,005 1,224,252 1,583,755 1,943,257 2,302,759
교육(중위소득 50%) 836,053 1,423,549 1,841,575 2,259,601 2,677,627

* 중위소득이란? 전국의 모든가구를 소득별로 순위를 매겼을 때, 한가운데 위치하는 가구의 소득을 말합니다.

-부양의무자 기준은 부양의무자가 없거나, 부양의무자가 있어도 부양능력이 없거나 부양을 받을 수 없는 경우를 말합니다.
-부양의무자의 범위: 수급권자의 1촌 직계혈족 및 그 배우자입니다. (다만, 배우자가 사망한 경우 사위·며느리·계부·계모는 제외)",https://www.brcn.go.kr/welfare/sub01_01.do,
,,,,국민기초생활보장사업_급여별 지원내용,국민기초생활보장사업 알려주세요,"국민기초생활보장사업 생계급여 지원내용 알려줘
국민기초생활보장사업 의료급여 지원내용 알려줘
국민기초생활보장사업 주거급여 지원내용 알려줘
국민기초생활보장사업 임차가구 지원내용 알려줘
국민기초생활보장사업 교육급여 지원내용 알려줘
국민기초생활보장사업 교육급여 문의번호 알려줘","[생계급여]
일상생활에 기본적으로 필요한 생계비 지원으로 가구별 생계급여 선정기준액에서 소득인정액을 뺀 금액을 현금으로 지원

[의료급여]
질병, 부상, 출산 등의 상황에서 필요한 의료서비스를 낮은 본인 부담으로 이용하실 수 있습니다.
(생계.의료 문의: 보건복지콜센터 129)

[주거급여]
임차 가구는 전‧월세 비용을 지원, 자가 가구는 낡은 집을 고쳐드립니다.(주거급여 문의: 주거급여 콜센터 1600-0777)
*임차가구: 기준 임대료를 상한으로 실제 전‧월세비용 지원

[교육급여]
아이들이 열심히 공부할 수 있도록 입학금, 수업료, 학용품비 등을 지원합니다. (교육급여 문의: 교육급여 콜센터 1544-9654)",,
,,,,국민기초생활보장사업_지원절차,국민기초생활보장사업이 지원절차 알려주세요,"국민기초생활보장사업 상담 및 신청은 어디서 하나요?
국민기초생활보장사업 조사 및 심사는 어떤것을 하나요?
국민기초생활보장사업 급여 결정, 통지는 언제 알수 있나요?
국민기초생활보장사업 신청에 비용이 드나요?
","[지원절차]
-상담 및 신청은 주민등록상 주소지 읍·면·동 주민센터, 연중 가능합니다.
-조사 및 심사는 가구 소득·재산, 부양의무자 등 조사
-급여결정, 통지는 30일 이내 통지(60일 이내 연장가능)
* 신청에는 비용이 들지 않습니다, 금품을 요구하며 접근하는 경우 절대 응하지 마십시오.",https://www.brcn.go.kr/welfare/sub01_01.do,
,,,,자활근로사업,자활근로사업이 뭐에요?,"자활근로사업
자활근로사업 대상 알려줘
자활근로산업 사업종류 알려줘
자활근로산업 신청방법은 뭔가요??
자활근로산업 구비서류는?
자활근로산업 문의하고 싶어요
","자활근로사업이란 저소득층의 자활의욕 고취 및 일자리제공으로 자립계기 마련을 위한 제도입니다.

[대상]
조건부수급자, 자활급여특례자, 차상위자활, 일반수급자 입니다.

[사업종류]
민간위탁사업 (자활공동체), 직접사업 (환경정비, 복지도우미사업)

[신청방법]
읍 · 면 · 동 주민센터에 방문하여 신청서 작성 제출하시면 됩니다.

[신청시 필요한 구비서류]
자활근로사업신청서, 자활근로사업 조건표.

[문의사항]
자활의료담당자 041-930-3367",https://www.brcn.go.kr/welfare/sub01_02.do,
,,,,자산형성사업_희망키움통장,희망키움통장이 뭔가요?,"희망키움통장 알려줘
희망키움통장 누가 가입할 수 있어?
희망키움통장 가입 조건 알려줘
희망키움통장 지원액 알려줘","**표**
구분	희망키움통장 Ⅰ	희망키움통장Ⅱ
가입대상	일반노동시장 취 · 창업자 수급가구	비수급 근로빈곤층 중 일반노동 시장에서 최근 1년간 6개월이상 근로한 자
	(근로소득이 최저생계비 60% 이상)	(근로소득 최저생계비 90%이상
		120%이하)
월 본인	10만원	10만원
저축액
정부 지원액	근로소득장려금 (월 평균 26만원)	근로소득장려금 (본인저축액 1:1)

추가 지원액	-	-
지원 조건	3년 이내 탈수급 조건	통장 3년 유지 및 교육이수 조건
	* 사용관계 증빙서류 제출	* 사용관계 증빙서류 제출

실질 혜택	(3년, 3인 가구 기준) 평균 1,300만원 (최대 2,000만원) 적립	(3년 기준) 평균 720만원 (5년 개인 통장 유지 시) 약 1,000만원",https://www.brcn.go.kr/welfare/sub01_03.do,
,,,,자산형성사업_내일키움통장,내일키움통장 알려주세요,"내일키움통장 가입 조건 알려줘
내일키움통장 혜택이 뭐야","**표**
구분	내일키움통장
가입대상	자활근로사업단참여자 (최근 3개월 이상
	성실 참여자)

월 본인	5만원 또는 10만원
저축액	(선택)
정부 지원액	내일키움장려금 본인 저축액 1:1 (시장진입형), 1:0.5 (사회서비스형)
	매칭 지원
추가 지원액	내일키움수익금 최대 15만원 (자활근로사업단수익금에 따라 차등지원)
지원 조건	3년 이내 일반 노동 시장등으로 취 · 창업 및 교육 이수 조건
	* 사용관계 증빙서류
	제출
실질 혜택	(3년 기준) 평균 1,100만원 (최대 1,300만원) 적립",https://www.brcn.go.kr/welfare/sub01_03.do,
,,,,의료급여사업_일반,의료 급여사업에 대해 알려줘,의료 급여사업이 뭐에요?," 의료급여사업은 생활유지능력이 없거나 생활이 어려운 국민들에게 발생하는 의료문제인 개인의 질병, 부상, 출산 등에 대해 진찰·검사, 치료 등의 의료급여 서비스를 제공하는 사업입니다.

[문의]
자활의료담당자 041-930-3367, 041-930-3366, 041-930-3369",,
,,,,의료급여사업_대상,의료급여사업 대상을 알려주세요,의료급여사업 대상은 누구야?,"[의료급여사업의 대상]
-국민기초생활보장수급권자
-행려환자
*행려환자란
환자의 거소가 불분명하고 행정기관 (경찰관서, 소방관서 (119구급대원) 등) 이 ‘응급의료에 관한 법률’에서 정하는 응급진료를 받게 하였으며 부양의무자 (1촌 이내의 직계혈족 및 그 배우자) 가 없는 무연고자이거나 부양의무자가 있어도 부양능력이 없거나 부양 받을 수 없는 경우의 환자

[타 법에 의한 수급권자]
-“재해구호법”에 의한 이재민
-“의사상자 예우에 관한 법률”에 의한 의상자 및 의사자의 유족
-""입양촉진 및 절차에 관한 특례법”에 의해 국내에 입양된 18세 미만의 입양아동
-“국가유공자 등 예우 및 지원에 관한 법률”과 “독립유공자 예우에 관한 법률”에서 정하는 국가유공자 및 그 가족
-“문화재 보호법”에 의한 중요무형문화재 보유자 및 그 가족
-“북한이탈주민의 보호 및 정착지원에 관한 법률”에 적용받고 있는 북한 이탈주민 (새터민) 과 그 가족
-“5․18 민주화운동 관련자 보상 등에 관한 법률”에 의한 5․18 민주화운동 관련자 및 그 유족
-″노숙인 등의 복지 및 자립지원에 관한 법률″에 따른 노숙인

[문의]
자활의료담당자 041-930-3367, 041-930-3366, 041-930-3369",,
,,,,의료급여사업_급여기준,의료급여사업의 급여기준을 알려주세요,"
의료급여사업 급여기준을 알려줘
의료급여사업 급여절차 알려줘
의료급여사업 지원내용 알려줘","[급여내용]
진찰․검사, 약제․치료재료 지급, 처치․수술, 예방․재활, 간호, 이송 등 (의료급여법 제7조)

[급여범위 및 급여비용]
건강보험과 유사 (정신과 등 일부 수가체계 상이)

[급여절차]
1단계 : 1차 의료급여기관(의원, 보건소, 보건지소, 보건진료소, 보건의료원)에서
2단계 : 2차 병원, 종합병원으로 의료급여릐뢰서를 의뢰하면
3단계 :  3차 복지부장관이 지정한 진료기관으로 의료급여의뢰서 전송 후 2차 의료기관 1차의료기관으로 회송한다.
※ 의료급여의 절차에 의하지 않고(의료급여의뢰서 없이) 의료급여기관을 이용한 경우에는 소요된 비용의 총액은 100/100 본인 부담하여야 합니다.

**표**
[본인 부담금액]
구분 1차기관 2차기관 3차기관 약국
1종 외래 1,000원 1,500원 2,000원 500원
입원 본인부담 없음 본인부담없음 본인부담없음 -
2종 외래 1,000원 급여비용의 15% 급여비용의 15% 500원
입원 급여비용의 10% 급여비용의 10% 급여비용의 10% -
2종 장애인 외래 250원 본인부담없음 본인부담없음 500원
입원 본인부담없음 본인부담없음 본인부담없음 -",,
